time,t2m,longitude,latitude
2023-01-01 00:00:00,299.32684,-64,-1
2023-01-01 01:00:00,298.90045,-64,-1
2023-01-01 02:00:00,298.11774,-64,-1
2023-01-01 03:00:00,297.5935,-64,-1
2023-01-01 04:00:00,297.38495,-64,-1
2023-01-01 05:00:00,297.24017,-64,-1
2023-01-01 06:00:00,297.12653,-64,-1
2023-01-01 07:00:00,297.03174,-64,-1
2023-01-01 08:00:00,296.9475,-64,-1
2023-01-01 09:00:00,296.9007,-64,-1
2023-01-01 10:00:00,296.91464,-64,-1
2023-01-01 11:00:00,297.1385,-64,-1
2023-01-01 12:00:00,297.83987,-64,-1
2023-01-01 13:00:00,298.58844,-64,-1
2023-01-01 14:00:00,300.52618,-64,-1
2023-01-01 15:00:00,301.8756,-64,-1
2023-01-01 16:00:00,302.41943,-64,-1
2023-01-01 17:00:00,302.58636,-64,-1
2023-01-01 18:00:00,302.40668,-64,-1
2023-01-01 19:00:00,302.00055,-64,-1
2023-01-01 20:00:00,301.18176,-64,-1
2023-01-01 21:00:00,300.6726,-64,-1
2023-01-01 22:00:00,300.04474,-64,-1
2023-01-01 23:00:00,299.7547,-64,-1
2023-01-02 00:00:00,299.45,-64,-1
2023-01-02 01:00:00,299.16302,-64,-1
2023-01-02 02:00:00,298.95825,-64,-1
2023-01-02 03:00:00,298.81738,-64,-1
2023-01-02 04:00:00,298.6397,-64,-1
2023-01-02 05:00:00,298.3556,-64,-1
2023-01-02 06:00:00,297.91043,-64,-1
2023-01-02 07:00:00,297.7243,-64,-1
2023-01-02 08:00:00,297.33627,-64,-1
2023-01-02 09:00:00,296.75476,-64,-1
2023-01-02 10:00:00,296.63644,-64,-1
2023-01-02 11:00:00,296.5611,-64,-1
2023-01-02 12:00:00,296.5739,-64,-1
2023-01-02 13:00:00,296.9746,-64,-1
2023-01-02 14:00:00,297.62323,-64,-1
2023-01-02 15:00:00,298.8223,-64,-1
2023-01-02 16:00:00,299.94257,-64,-1
2023-01-02 17:00:00,300.55173,-64,-1
2023-01-02 18:00:00,300.5704,-64,-1
2023-01-02 19:00:00,300.27625,-64,-1
